en,fr,es,de,de-ch,zh-hans,zh-hant,kr,pt,ar,arb,he,heb,da,sv,no,it,nl,jp-unfinished,th-unfinished,hu-unfinished,pl-unfinished,sk-unfinished,el-unfinished,cs-unfinished,ro-unfinished,hi-unfinished,tr-unfinished,ru-unfinished,de-oe unfinished,ca-unfinished,fi-unfinished
A-Flow / default-dark,A-Flow / par défaut-foncé,A-Flow / por defecto-oscuro,A-Flow / Standard-dunkel,A-Flow / Schtandard-dunkel,A-Flow / 预设-深烘,A-Flow / 預設-深烘,A-Flow / 기본-강배전,A-Flow / padrão-escura,,,,,A-Flow / standard-mørk,A-Flow / standard-mörk,A-Flow / standard-mørk,A-Flow / predefinito-scuro,A-Flow / standaard-donker,,,,,,,,,,,,,,
A-Flow / default-like-dflow,A-Flow / par défaut-comme-dflow,A-Flow / por defecto-como-dflow,A-Flow / Standard-wie-dflow,A-Flow / Schtandard-wiä-dflow,A-Flow / 预设-似Dflow,A-Flow / 預設-似Dflow,A-Flow / 기본-유사 D-Flow,A-Flow / padrão-tipo-dflow,,,,,A-Flow / standard-som-dflow,A-Flow / standard-lik-dflow,A-Flow / standard-som-dflow,A-Flow / predefinito-come-dflow,A-Flow / standaard-zoals-dflow,,,,,,,,,,,,,,
A-Flow / default-medium,A-Flow / par défaut-moyen,A-Flow / por defecto-medio,A-Flow / Standard-mittel,A-Flow / Schtandard-mittel,A-Flow / 预设-中烘,A-Flow / 預設-中烘,A-Flow / 기본-중배전,A-Flow / padrão-média,,,,,A-Flow / standard-mellem,A-Flow / standard-mellan,A-Flow / standard-medium,A-Flow / predefinito-medio,A-Flow / standaard-medium,,,,,,,,,,,,,,
A-Flow / default-very-dark,A-Flow / par défaut-très-foncé,A-Flow / por defecto-muy-oscuro,A-Flow / Standard-sehr-dunkel,A-Flow / Schtandard-sehr-dunkel,A-Flow / 预设-极深烘,A-Flow / 預設-極深烘,A-Flow / 기본-강강배전,A-Flow / padrão-muito escura,,,,,A-Flow / standard-meget-mørk,A-Flow / standard-mycket-mörk,A-Flow / standard-meget-mørk,A-Flow / predefinito-molto-scuro,A-Flow / standaard-zeer-donker,,,,,,,,,,,,,,
Damian's Q,Q de Damian,Q por Damian,Q von Damian,Q vum Damian,Damian's Q,Damian's Q,Damian's Q,Damian's Q,,,,,Damians Q,Damians Q,Damians Q,Q di Damian,Damians Q,,,,,,,,,,,,,,
Weiss advanced spring lever,Levier à ressort avancé Weiss,Palanca de resorte avanzada Weiss,Weiss advanced spring lever,Weiss advanced spring lever,Weiss 弹簧杯清洁,Weiss 彈簧杯清潔,Weiss의 진보된 스프링 레버,Alavanca de mola avançada Weiss,,,,,Weiss avanceret fjeder-håndtag (spring lever),Weiss avancerad fjäder-hävstång (spring lever),Weiss avansert fjær-spak (spring lever),Leva a molla avanzata Weiss,Weiss geavanceerde veerhevel,,,,,,,,,,,,,,
"A convenient way to 5 times flush and clean your group head.  (1) Put a blind basket in your portafilter  (2) Put 3g (1/2 teaspoon) of espresso machine detergent in the blind basket  (3) Run this profile  (4) When it is done, remove the portafilter off Flush the DE1 until the water goes clear  (5) Put the portafilter back without detergent and run this profile again  (6) Finally, run FLUSH for 20 seconds.","Une méthode pratique pour rincer et nettoyer votre groupe 5 fois. (1) Placez un panier aveugle dans votre porte-filtre. (2) Versez 3 g (1/2 cuillère à café) de détergent pour machines à expresso dans le panier aveugle. (3) Lancez ce profil. (4) Une fois terminé, retirez le porte-filtre. Rincez la DE1 jusqu'à ce que l'eau soit claire. (5) Remettez le porte-filtre sans détergent et relancez ce profil. (6) Enfin, lancez le RINÇAGE pendant 20 secondes.","Una forma cómoda de enjuagar y limpiar 5 veces el cabezal del grupo. (1) Coloque una cesta ciega en su portafiltro (2) Ponga 3 g (1/2 cucharadita) de detergente para máquinas de espresso en la cesta ciega (3) Ejecute este perfil (4) Cuando haya terminado, retire el portafiltro. Enjuague la DE1 hasta que el agua salga clara (5) Vuelva a colocar el portafiltro sin detergente y vuelva a ejecutar este perfil (6) Por último, ejecute ENJUAGAR durante 20 segundos.","Eine praktische Methode, um Ihren Brühkopf fünfmal zu spülen und zu reinigen. (1) Setzen Sie ein Blindsieb in Ihren Siebträger ein. (2) Geben Sie 3 g (1/2 Teelöffel) Espressomaschinenreiniger in das Blindsieb. (3) Führen Sie dieses Profil aus. (4) Entfernen Sie anschließend den Siebträger. Spülen Sie die DE1, bis das Wasser klar ist. (5) Setzen Sie den Siebträger ohne Reinigungsmittel wieder ein und führen Sie dieses Profil erneut aus. (6) Führen Sie abschließend 20 Sekunden lang die Spülfunktion aus.","Ä praktischi Methodä, zum Ihrä Brüähchopf füüfmal ds schpüälä und ds reinigä. (1) Füäged Sie äs Blindsieb in ihrä Siebträger ii. (2) Gänd Sie 3 g (1/2 Teelöffel) Espressomaschinäreiniger i ds Blindsieb. (3) Fuähred Sie das Profil uus. (4) Entfärned Sie dänn dr Siebträger. Schpüäled Sie d DE1, bis ds Wasser klar isch. (5) Füäged Sie dr Siebträger uhni Putzmittel wieder ii und füähred Sie ds Profil nuch ämal uus. (6) Füähred Sie abschlüssend 20 Sekundä lang d Schpüälfunktion uus.",方便冲洗和清洁冲煮头 5 次。 （1）将一个盲篮放入您的咖啡手柄 （2）将 3 克（1/2 茶匙）浓缩咖啡机清洁剂放入盲篮 （3）运行此曲线 （4）完成后，取出咖啡手柄 冲洗 DE1 直到水变清澈 （5）将没有清洁剂的咖啡手柄放回原位并再次运行此曲线 （6）直到最后，运行 FLUSH 20 秒。,方便沖洗和清潔沖煮頭 5 次。 （1）將一個盲籃放入您的咖啡手柄 （2）將 3 克（1/2 茶匙）濃縮咖啡機清潔劑放入盲籃 （3）運行此曲线 （4）完成後，取出咖啡手柄 沖洗 DE1 直到水變清澈 （5）將沒有清潔劑的咖啡手柄放回原位並再次運行此曲线 （6）直到最後，運行 FLUSH 20 秒。,5번의 물흘리기로 그룹헤드를 간편하게 청소할 수 있는 프로파일 입니다. (1) 포터필터에 블라인드 바스켓을 장착하세요. (2) 블라인드 바스켓에 그룹헤드 세정제를 3g (1/2 티스푼) 담아주세요. (3) 프로파일을 작동해주세요. (4) 청소가 종료되면 포터필터를 제거하고 그룹헤드에서 나오는 물이 깨끗해질 때 까지 물흘리기를 진행해주세요. (5) 세정제 없이 포터필터를 장착하고 프로파일을 한 번 더 작동해주세요. (6) 마지막으로 20초간 물흘리기를 진행해주세요.,"Uma forma prática de enxaguar e limpar o grupo 5 vezes. (1) Coloque um cego no porta-filtro (2) Coloque 3g (1/2 colher de chá) de detergente para máquina de espresso no cego (3) Execute este perfil (4) Quando terminar, remova o porta-filtro. Enxágue o DE1 até que a água saia limpa (5) Recoloque o porta-filtro sem detergente e execute este perfil novamente (6) Por fim, execute o FLUSH por 20 segundos.",,,,,"En nem måde at flushe og rengøre dit gruppehoved 5 gange. (1) Sæt et blindfilter i dit portafilter (2) Put 3g (1/2 tsk) espressomaskine-rens i blindfilteret (3) Kør denne profil (4) Når den er færdig, fjern portafilteret og flush DE1 indtil vandet er klart (5) Sæt portafilteret tilbage uden rens og kør denne profil igen (6) Kør til sidst FLUSH i 20 sekunder.","Ett smidigt sätt att backflusha och rengöra ditt grupphuvud 5 gånger. (1) Sätt i en blindkorg i ditt portafilter (2) Lägg 3g (1/2 tesked) rengöringsmedel för espressomaskiner i blindkorgen (3) Kör denna profil (4) När den är klar, ta bort portafiltret och flusha DE1 tills vattnet blir klart (5) Sätt tillbaka portafiltret utan rengöringsmedel och kör denna profil igen (6) Kör slutligen FLUSH i 20 sekunder.","En enkel måte å backflushe og rengjøre gruppehodet ditt 5 ganger. (1) Sett en blindkurv i portafiltret ditt (2) Ha 3g (1/2 teskje) rensemiddel for espressomaskiner i blindkurven (3) Kjør denne profilen (4) Når den er ferdig, ta av portafiltret og flush DE1 til vannet blir klart (5) Sett portafiltret tilbake uten rensemiddel og kjør denne profilen igjen (6) Kjør til slutt FLUSH i 20 sekunder.","Un metodo pratico per risciacquare e pulire il tuo gruppo 5 volte. (1) Metti un cestello cieco nel portafiltro. (2) Versa 3 g (1/2 cucchiaino) di detersivo per macchine da caffè espresso nel cestello cieco. (3) Avvia questo profilo. (4) Una volta terminato, rimuovi il portafiltro. Risciacqua la DE1 finché l’acqua non diventa limpida. (5) Rimetti il portafiltro senza detersivo e avvia nuovamente questo profilo. (6) Infine, avvia il RISCIACQUO per 20 secondi.",Een handige manier om uw zetgroep 5 keer te doorspoelen en te reinigen. (1) Plaats een blindfilter in uw filterdrager. (2) Doe 3g (1/2 theelepel) reinigingsmiddel voor espressomachines in het blindfilter. (3) Voer dit profiel uit. (4) Verwijder na afloop de filterdrager. Spoel de DE1 door tot het water helder is. (5) Plaats de filterdrager terug zonder reinigingsmiddel en voer dit profiel nogmaals uit. (6) Voer tot slot SPOELEN uit gedurende 20 seconden.,,,,,,,,,,,,,,
"A very popular profile made with D-Flow, spun out as its own profile.  Optimized for medium-light beans. By Damian Brakel","Profil très populaire créé avec D-Flow, devenu un profil à part entière. Optimisé pour les grains moyennement légers. Par Damian Brakel","Un perfil muy popular creado con D-Flow, que se ha convertido en un perfil propio. Optimizado para granos de intensidad media-baja. Por Damian Brakel.","Ein sehr beliebtes Profil, das mit D-Flow erstellt und als eigenständiges Profil herausgebracht wurde. Optimiert für mittelhelle Bohnen. Von Damian Brakel","Äs sehr beliäbts Profil, wo mit D-Flow gmacht und als eigäschtändigs Profil usäbracht wordä isch. Optimiärt für mittelhelli Bohnä. Vum Damian Brakel",一款非常受欢迎的D-Flow曲线，独立开发，专为中浅咖啡豆优化。作者：Damian Brakel,一款非常受歡迎的D-Flow曲线，獨立開發，專為中浅咖啡豆優化。作者：Damian Brakel,D-Flow로 제작된 프로파일입니다. 인기가 많아서 독립된 프로파일로 분리했습니다. 중약배전 원두에 최적화 되었습니다. By Damian Brakel,"Um perfil muito popular feito com D-Flow, transformado em perfil independente. Otimizado para grãos de torra média-clara. Por Damian Brakel",,,,,"En meget populær profil lavet med D-Flow, udskilt som sin egen profil. Optimeret til mellem-lyse bønner. Af Damian Brakel","En mycket populär profil gjord med D-Flow, avknoppad som en egen profil. Optimerad för mellanljusa bönor. Av Damian Brakel","En veldig populær profil laget med D-Flow, skilt ut som sin egen profil. Optimert for mellomlyse bønner. Av Damian Brakel","Profilo molto popolare creato con D-Flow, che è diventato un profilo a sé stante. Ottimizzato per grane mediamente leggere. Di Damian Brakel",Een zeer populair profiel dat is gemaakt met D-Flow en is uitgebracht als een zelfstandig profiel. Geoptimaliseerd voor medium-licht gebrande bonen. Door Damian Brakel.,,,,,,,,,,,,,,
A-Flow: an alternative profile for D-Flow,A-Flow : un profil alternatif pour D-Flow,A-Flow: un perfil alternativo para D-Flow,A-Flow: ein alternatives Profil für D-Flow,A-Flow: äs alternatiifs Profil für D-Flow,A-Flow：D-Flow 的替代曲线,A-Flow：D-Flow 的替代曲線,A-Flow: D-Flow를 위한 대체 프로파일,A-Flow: um perfil alternativo ao D-Flow,,,,,A-Flow: en alternativ profil til D-Flow,A-Flow: en alternativ profil för D-Flow,A-Flow: en alternativ profil for D-Flow,A-Flow: un profilo alternativo a D-Flow,A-Flow: een alternatief profiel voor D-Flow,,,,,,,,,,,,,,
"Advanced spring lever profile, with additional constant flow step to salvage overly slow and fast flowing shots.","Profil avancé de levier à ressort, avec étape supplémentaire à débit constant pour compenser les préparations trop lents ou trop rapides.","Perfil avanzado de palanca de resorte, con un paso adicional de flujo constante para salvar preparaciones demasiado lentas y rápidas.","Fortschrittliches Federhebelprofil mit zusätzlicher Stufe mit konstantem Durchfluss, um zu langsame und zu schnelle Zubereitungen zu korrigieren.","Äs fortschrittlichs Fäderähebelprofil miterä zuäsätzlichä Schtufä mit konschtantem Durchfluss, zum ds langsami und ds schnälli Zuäbereitigä ds korrigiärä.",高阶弹簧杆曲线，具有额外的恒定流量步骤，可挽救过慢和过快的流速萃取。,高阶彈簧桿曲线，具有額外的恆定流量步驟，可挽救過慢和過快的流速萃取。,"진보된 스프링 레버 프로파일로, 너무 느리거나 빠른 유량 추출을 보완하기 위한 추가적인 유량 유지 단계가 포함되어 있습니다.","Perfil avançado de alavanca de mola, com etapa adicional de fluxo constante para recuperar extrações excessivamente lentas ou rápidas.",,,,,"Avanceret spring lever profil, med yderligere konstant flow-trin for at redde overdrevent langsomme og hurtigt løbende shots.","Avancerad fjäderhävstångsprofil, med ett extra steg för konstant flöde för att rädda extraktioner som rinner för långsamt eller för snabbt.","Avansert fjærhendelprofil, med et ekstra steg for konstant flyt for å redde ekstraksjoner som renner for tregt eller for raskt.","Profilo avanzato della leva a molla, con una fase aggiuntiva a portata costante per compensare le estrazioni troppo lente o troppo veloci.","Geavanceerd veerhevelprofiel, met een extra stap voor constant debiet om te langzame en te snelle bereidingen te redden.",,,,,,,,,,,,,,
"Brewing with cold water substantially slows the flow rate of liquid through the coffee bed and often leads to choking. We set the flow rate very low for our cold brew recipe in order to provide steady flow, mitigate choking, and promote an even extraction. We recommend grinding a little coarser for cold brew than for hot-water brewing. Expect cold-brew extraction levels to be a couple of points lower than hot-water extractions.  We recommend giving the brewer a gentle spin after prewetting and after the last pulse of water has sprayed.","L'infusion à l'eau froide ralentit considérablement le débit du liquide à travers le lit de café et entraîne souvent un engorgement. Nous avons réglé le débit à un niveau très bas pour notre recette d'infusion à froid afin d'assurer un débit régulier, de réduire l'engorgement et de favoriser une extraction uniforme. Nous recommandons une mouture un peu plus grossière pour le café froid que pour le café chaud. Attendez-vous à ce que les niveaux d'extraction du café froid soient inférieurs de quelques points à ceux du café chaud. Nous recommandons de faire tourner doucement la cafetière après le pré-trempage et après la dernière pulvérisation d'eau.","La preparación con agua fría ralentiza considerablemente el caudal de líquido a través del lecho de café y, a menudo, provoca atascos. En nuestra receta de café frío, ajustamos el caudal a un nivel muy bajo para proporcionar un flujo constante, mitigar los atascos y favorecer una extracción uniforme. Recomendamos moler el café un poco más grueso para la preparación en frío que para la preparación con agua caliente. Es de esperar que los niveles de extracción en frío sean un par de puntos más bajos que en las extracciones con agua caliente. Recomendamos girar suavemente la cafetera después de humedecerla y después de que se haya rociado el último chorro de agua.","Der Brühvorgang mit kaltem Wasser verlangsamt den Durchfluss der Flüssigkeit durch das Kaffeebett erheblich und führt häufig zu Verstopfungen. Wir haben die Durchflussrate für unser Cold-Brew-Rezept sehr niedrig eingestellt, um einen gleichmäßigen Durchfluss zu gewährleisten, Verstopfungen zu vermeiden und eine gleichmäßige Extraktion zu fördern. Wir empfehlen, für Cold Brew etwas gröber zu mahlen als für den Brühvorgang mit heißem Wasser. Rechnen Sie damit, dass die Extraktionswerte bei Cold Brew um einige Punkte niedriger sind als bei der Extraktion mit heißem Wasser. Wir empfehlen, den Brühbehälter nach dem Vorbefeuchten und nach dem letzten Wasserspray vorsichtig zu schwenken.","Dr Brüähvorgang mit chaltem Wasser verlangsamt dr Durchfluss vu dr Flüssigkeit dur ds Kaffibett erheblich und füährt hüffig zu Verschtopfigä. Mir händ d Durchflussratä für üsers Cold-Brew-Rezäpt sehr tüüf iigschtellt, zum ä gliichmässigä Durchfluss ds gwährleischtä, Verschtopfigä ds vermiidä und ä gliichmässigi Extraktion ds förderä. Mir empfähled, für d Cold Brew ächli gröber ds mahlä als fürä Brüähvorgang mit heissem Wasser. Rächned Sie drmit, dass d Extraktionswärt bi Cold Brew um äs paar Punkt tüüfer isch, las bi dr Extraktion mit heissem Wasser. Mir empfähled, dr Brüähbehälter nachem Vorbefüächtä und nachem letschtä Wasserspray süüferli ds schwänkä.",用冷水冲泡会显著降低咖啡液流经咖啡粉床的速度，并经常导致堵塞。为了提供稳定的水流，减少堵塞，并促进均匀萃取，我们将冷萃咖啡的流速设置得非常低。我们建议冷萃咖啡的研磨度比热水冲泡时略粗。冷萃咖啡的萃取率会比热水萃取低几个点。我们建议在预湿后以及最后一次注水后，轻轻旋转咖啡机一次。,用冷水沖泡會顯著降低咖啡液流經咖啡粉床的速度，並經常導致堵塞。為了提供穩定的水流，減少堵塞，並促進均勻萃取，我們將冷萃咖啡的流速設定得非常低。我們建議冷泡咖啡的研磨度比熱水沖泡時略粗。冷萃咖啡的萃取率會比熱水萃取低幾點。我們建議在預濕後以及最後一次注水後，輕輕旋轉咖啡機一次。,"차가운 물로 추출하는 경우, 커피 퍽을 통과하는 물의 유속이 느려져서 종종 막힘 현상이 발생됩니다. 저희는 이 콜드 브루 레시피의 균일한 추출을 돕기 위해 유량을 아주 낮게 설정해서 일관된 유량을 유지하면서 막힘을 줄였습니다. 콜드브루 추출은 뜨거운 물로 추출할 때 보다 분쇄도를 야간 더 굵게 맞추는 것을 추천드립니다. 콜드브루 추출은 뜨거운 물로 추출할 때 보다 한 두 포인트 정도 낮게 나타날 수 있습니다. 프리웻 단계와 마지막 물 주입 후에 브루어를 가볍게 돌려주시는 것을 추천드립니다.","Preparar com água fria reduz substancialmente a taxa de fluxo do líquido através do leito de café e frequentemente causa obstrução. Definimos uma taxa de fluxo bem baixa para nossa receita de cold brew a fim de garantir um fluxo constante, evitar entupimentos e promover uma extração uniforme. Recomendamos uma moagem um pouco mais grossa para cold brew do que para preparo com água quente. Espere níveis de extração ligeiramente menores com água fria em comparação à extração com água quente. Também sugerimos girar suavemente o equipamento após a pré-umedecimento e após o último jato de água.",,,,,"Brygning med koldt vand sænker væsentligt flowraten af væske gennem kaffebedet og fører ofte til tilstopning. Vi sætter flowraten meget lavt for vores cold brew opskrift for at give et stabilt flow, modvirke tilstopning og fremme en jævn ekstraktion. Vi anbefaler at kværne en lille smule grovere til cold brew end til brygning med varmt vand. Forvent at cold-brew ekstraktionsniveauer er et par point lavere end varmtvands-ekstraktioner. Vi anbefaler at give bryggeren et forsigtigt spin efter forvædning og efter den sidste vand-puls har sprayet.","Bryggning med kallt vatten saktar ner vätskans flödeshastighet genom kaffebädden avsevärt och leder ofta till igensättning. Vi har ställt in flödeshastigheten mycket lågt för vårt cold brew-recept för att ge ett jämnt flöde, motverka igensättning och främja en jämn extraktion. Vi rekommenderar att mala lite grövre för cold brew än för bryggning med varmt vatten. Räkna med att extraktionsnivåerna för cold brew blir ett par enheter lägre än för varmvattensextraktioner. Vi rekommenderar att du roterar bryggaren försiktigt efter förvătning och efter att den sista vattenpulsen har sprayats.","Brygging med kaldt vann senker væskens strømningshastighet gjennom kaffesengen betraktelig, og fører ofte til tilstopping. Vi har satt strømningshastigheten svært lavt for vår cold brew-oppskrift for å gi en stabil flyt, motvirke tilstopping og fremme en jevn ekstraksjon. Vi anbefaler å kverne litt grovere til cold brew enn til brygging med varmt vann. Forvent at ekstraksjonsnivåene for cold brew blir et par poeng lavere enn for varmtvannsekstraksjoner. Vi anbefaler å rotere bryggeren forsiktig etter forvæting og etter at den siste vannpulsen har sprayet.","L'infusione a freddo rallenta notevolmente il flusso del liquido attraverso il letto di caffè e spesso causa un intasamento. Abbiamo impostato la portata a un livello molto basso per la nostra ricetta di infusione a freddo, in modo da garantire un flusso regolare, ridurre l'intasamento e favorire un'estrazione uniforme. Consigliamo una macinatura leggermente più grossolana per il caffè freddo rispetto a quello caldo. Tieni presente che i livelli di estrazione del caffè freddo saranno inferiori di qualche punto rispetto a quelli del caffè caldo. Consigliamo di agitare delicatamente la caffettiera dopo il pre-ammollo e dopo l’ultima spruzzata d’acqua.","Zetten met koud water vertraagt het debiet van de vloeistof door het koffiebed aanzienlijk en leidt vaak tot verstopping (choking). We hebben het debiet voor ons recept voor koude extractie erg laag ingesteld om te zorgen voor een gelijkmatig debiet, verstopping te voorkomen en een gelijkmatige extractie te bevorderen. We raden aan om voor koude extractie iets grover te malen dan voor het zetten met heet water. Houd er rekening mee dat de extractiewaarden bij koude extractie een paar punten lager liggen dan bij extracties met heet water. We raden aan om de filterhouder voorzichtig rond te draaien (swirlen) na het voorbevochtigen en nadat de laatste waterpuls is gesproeid.",,,,,,,,,,,,,,
For use with machines that have a group head controller (GHC).  Hold your finger on the GHC for the flow you want.,À utiliser avec les machines équipées d'une monture de tête du groupe (GHC). Veuillez maintenir votre doigt sur la monture pour obtenir le débit souhaité.,Para usar con máquinas que tienen un controlador de grupo (GHC). Mantenga el dedo sobre el controlador para seleccionar el flujo que desea que use.,"Zur Verwendung mit Maschinen, die über eine Brühkopfsteuerung (GHC) verfügen. Halten Sie Ihren Finger auf die Steuerung, um die gewünschte Durchflussmenge einzustellen.","Zur Verwändig mit Maschinä, wonä Brüähchopfschtüürig (GHC) händ. Halted Sie Ihrä Finger uf d Schtüürig, zum de gwünscht Durchflussmängi iidsschtellä.",适用于带有冲煮头触控面板 (GHC) 的咖啡机。用手指按住 GHC 即可调节所需的流量。,適用於有沖煮頭觸控面板 (GHC) 的咖啡機。用手指按住 GHC 即可調整所需的流量。,그룹헤드 컨트롤러(GHC)가 탑재된 머신 전용. 컨트롤러 위에 손가락을 대고 움직여서 원하는 유량으로 조절하세요.,Para uso em máquinas que possuem controlador de grupo (GHC). Mantenha o dedo sobre o GHC (Controle da Cabeça de Grupo) para selecionar o fluxo desejado.,,,,,Til brug med maskiner der har en gruppehoved-controller (GHC). Hold din finger på GHC'en for det flow du ønsker.,För användning med maskiner som har en grupphuvudsregulator (GHC). Håll fingret på GHC-enheten för det flöde du vill ha.,For bruk med maskiner som har en gruppehode-kontroller (GHC). Hold fingeren på GHC-enheten for den flyten du ønsker.,Da usare con macchine dotate di controller del gruppo (GHC). Tieni il dito sul GHC per regolare la portata che vuoi.,Voor gebruik met machines die een zetgroepbesturing (GHC) hebben. Houd uw vinger op de GHC voor het gewenste debiet.,,,,,,,,,,,,,,
For use with machines that have a group head controller (GHC).  Hold your finger on the GHC for the pressure you want.,À utiliser avec les machines équipées d'une monture de tête du groupe (GHC). Veuillez maintenir votre doigt sur la monture pour obtenir la pression souhaitée.,Para usar con máquinas que tienen un controlador de grupo (GHC). Mantenga el dedo sobre el controlador para seleccionar la presión que desea que use.,"Zur Verwendung mit Maschinen, die über eine Brühkopfsteuerung (GHC) verfügen. Halten Sie Ihren Finger auf die Steuerung, um den gewünschten Druck einzustellen.","Zur Verwändig mit Maschinä, wonä Brüähchopfschtüürig (GHC) händ. Halted Sie Ihrä Finger uf d Schtüürig, zum dr gwünscht Druck iidsschtellä.",适用于带有冲煮头触控面板 (GHC) 的咖啡机。用手指按住 GHC 即可调节所需的压力。,適用於有沖煮頭觸控面板 (GHC) 的咖啡機。用手指按住 GHC 即可調整所需的壓力。,그룹헤드 컨트롤러(GHC)가 탑재된 머신 전용. 컨트롤러 위에 손가락을 대고 움직여서 원하는 압력으로 조절하세요.,Para uso em máquinas que possuem controlador de grupo (GHC). Mantenha o dedo sobre o GHC  (Controle da Cabeça de Grupo) para selecionar a pressão desejada.,,,,,Til brug med maskiner der har en gruppehoved-controller (GHC). Hold din finger på GHC'en for det tryk du ønsker.,För användning med maskiner som har en grupphuvudsregulator (GHC). Håll fingret på GHC-enheten för det tryck du vill ha.,For bruk med maskiner som har en gruppehode-kontroller (GHC). Hold fingeren på GHC-enheten for det trykket du ønsker.,Da usare con le macchine dotate di controller del gruppo (GHC). Tieni il dito sul GHC per regolare la pressione che vuoi.,Voor gebruik met machines die een zetgroepbesturing (GHC) hebben. Houd uw vinger op de GHC voor de gewenste druk.,,,,,,,,,,,,,,
Put a pour over basket in your DE1.  Look for smooth temperature ramps between each temperature stage.,Veuillez placer un panier pour café filtre dans votre DE1. Veuillez vous assurer que les transitions entre chaque étape de température se font en douceur.,Coloque una cesta de café vertido en su DE1. Busque rampas de temperatura suaves entre cada etapa de temperatura.,Setzen Sie ein Brühsieb in Ihre DE1 ein. Achten Sie auf gleichmäßige Temperaturanstiege zwischen den einzelnen Temperaturstufen.,Füäged Sie äs Brüähsieb i Ihri DE1 ii. Achted Sie uf gliichmässigi Temperatufaaschtieg zwüsched dä einzelnä Temperaturschtuufä.,将手冲粉碗装入 DE1 中。观察每个温度阶段之间的温度变化是否平稳。,將手沖粉碗裝入 DE1 中。觀察每個溫度階段之間的溫度變化是否平穩。,푸어오버 바스켓을 장착해주세요. 각 단계별 온다가 부드립게 상승하는 설정을 찾으세요.,Coloque um cesto de filtrados no seu DE1. Observe transições suaves de temperatura entre cada estágio térmico.,,,,,Sæt en pour-over kurv i din DE1. Kig efter jævne temperaturstigninger mellem hvert temperaturtrin.,Sätt en pour over-korg i din DE1. Leta efter jämna temperaturstegringar mellan varje temperatursteg,Sett en pour over-kurv i din DE1. Se etter jevne temperaturstigninger mellom hvert temperaturtrinn.,Metti un cestello per caffè filtro nella tua DE1. Assicurati che i passaggi tra una fase di temperatura e l'altra avvengano in modo graduale.,Plaats een filterbakje voor filterkoffie in uw DE1. Let op gelijkmatige temperatuurstijgingen tussen de verschillende temperatuurfasen.,,,,,,,,,,,,,,
